video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=cZXyHjqutyU&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@collegiatedancehub,collegiate dance hub,University of Tennessee Dance Team Jazz 2025,52K,11 months,UDA College Dance Team National Championship D1A Jazz Finals 4th Place Choreography: Katie Fear Lane and Faymie Link.,2026-01-21 23:12:50.681757
/watch?v=LBUxFmTBsvs&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGphenrSBwkJhwoBhyohjO8%3D,/@UDADANCE,UDA DANCE,Ohio State University | Pom 2025,53K,1 year,I don't own rights to the music.,2026-01-21 23:12:50.682955
/watch?v=XmNv5RRTp5s&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@ohiostatedanceteam3290,Ohio State Dance Team,2023 The Ohio State University - UDA Home Routine,28K,2 years,"Choreography: Marley Blanchard, Diana Natalicchio, Bennet EspindaBanick Music: Shoshana Bean, Cynthia Erivo We do not ...",2026-01-21 23:12:57.874501
/watch?v=psOhynASm9A&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@ohiostatedanceteam3290,Ohio State Dance Team,2023 The Ohio State University - UDA Pom Finals,135K,3 years,"Choreography: TRIBE 99 - Carsen Rowe, Katie Devine, Hailey Willis, Emily Placita, Olivia Placita Music: Sounds Like That ...",2026-01-21 23:12:57.875943
/shorts/H8IGrmNLPmo,/@VarsitySpirit,Varsity Spirit,UDA Nationals 2024: The Ohio State University Dance Team - Jazz Highlights,65K,2 years,Take on #UDAnationals the BUCKEYE way #VarsityTV.,2026-01-21 23:12:57.878337
/watch?v=LVnX2GZwKv4&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@dannelson716,Dan Nelson,Floor View of 2022 Jazz National Champions The Ohio State University Dance Team,31K,3 years,Video shot by Kurt Takahashi.,2026-01-21 23:12:57.883364
/watch?v=PFas8IVdKr8&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@dancheerchile,Dan Cheering,The ohio state university - dance team 2019,2.5K,6 years,UDA NATIONALS NATIONAL CHAMPIONS.,2026-01-21 23:12:57.887837
/watch?v=Xo_m3ogBEBc&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@ohiostatedanceteam3290,Ohio State Dance Team,2022 The Ohio State University - UDA Pom Finals,212K,3 years,D1A Pom National Champions Choreography: TRIBE 99 - Carsen Rowe & Katie Devine Music: Sounds Like That Costume: The ...,2026-01-21 23:12:57.889052
/watch?v=2d0hmADstXM&list=RD2d0hmADstXM&start_radio=1&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGphenqgBwE%3D,/@theohiostateuniversityscho6470,The Ohio State University School of Music Channel,Jazz Combo Showcase 11.6.25,1K,Streamed 2 months,The Jazz Studies area showcases student combos performing standards through contemporary tunes. Performing groups and ...,2026-01-21 23:12:57.891772
/watch?v=jyDMfWjc7Do&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@collegiatedancehub,collegiate dance hub,University of Michigan Dance Team Jazz 2025,34K,11 months,UDA College Dance Team National Championship D1A Jazz Finals 3rd Place Choreography: Chase Hudson.,2026-01-21 23:12:57.894919
/watch?v=xaZiBLVdn1g&pp=ygUab2hpbyBzdGF0ZSBkYW5jZSB0ZWFtIGpheno%3D,/@UCFKnights,UCF Knights,2025 UCF Dance Team National Jazz Semifinals Routine,65K,1 year,Courtesy of VarsityTV - UCF Dance Team's Jazz routine from the 2025 UDA National Championships at Wide World of Sports.,2026-01-21 23:12:57.897735
